City;ID;ICAO Code;IATA Code;Type;Airport Name;Latitude (Degrees);Longitude (Degrees);Continent;Local_code
A. Ibañez;39430;SLCY;--;small_airport;Collpa Airport;-17.56500053;-63.17470169;SA;--
A. Ibañez;39546;SLSK;--;small_airport;Santa Rosa Del Sara Airport;-17.10000038;-63.63333511;SA;--
Aachen;315135;DE-0184;--;small_airport;Stolberg-Diepenlinchen Airfield;50.7704;6.2818;EU;--
Aachen;28490;EDKA;AAH;small_airport;Aachen-Merzbrück Airport;50.82305527;6.186388969;EU;--
Aalborg;2562;EKYT;AAL;large_airport;Aalborg Airport;57.09275891;9.849243164;EU;--
Aalen;2260;EDPA;--;small_airport;Aalen-Heidenheim/Elchingen Airport;48.77777863;10.26472187;EU;--
Aamby Valley City;46556;IN-0033;--;small_airport;Aamby Valley Airport;18.60961667;73.37758333;AS;--
Aarbergen;314456;DE-0167;--;small_airport;Michelbach Airfield;50.2317;8.077;EU;--
Aarhus;2540;EKAH;AAR;medium_airport;Aarhus Airport;56.29999924;10.61900043;EU;--
Aars;2560;EKVH;--;small_airport;Vesthimmerlands Flyveplads;56.846901;9.45861;EU;--
Aasiaat;31697;BGAA;JEG;medium_airport;Aasiaat Airport;68.72180176;-52.78469849;NA;--
Aba;312371;AHJ;AHJ;medium_airport;Hongyuan Airport;32.53154;102.35224;AS;--
Aba;31400;FZJF;--;small_airport;Aba Airport;3.860187;30.255747;AF;--
Abadan;5130;OIAA;ABD;medium_airport;Abadan Airport;30.37109947;48.22829819;AS;--
Abadeh;42524;OISA;--;small_airport;Abadeh Airport;31.16666794;52.66666794;AS;--
Abaeté;345;SNLI;--;small_airport;Abaeté Airport;-19.15559959;-45.49480057;SA;SNLI
Abaiang;30611;NGAB;ABF;small_airport;Abaiang Airport;1.798609972;173.0410004;OC;--
Abakan;6503;UNAA;ABA;medium_airport;Abakan Airport;53.74000168;91.38500214;AS;--
Aban;310630;UNQA;--;small_airport;Aban Airport;56.6847;96.1203;EU;--
Abangares;41969;MRMA;--;small_airport;Monte Alto Airport;10.08333302;-85.26667023;NA;--
Abaré;179;SDLI;--;small_airport;Jeová Gomes Corrêa Airport;-8.73699;-39.115398;SA;BA0039
Abariringa;5426;PCIS;CIS;medium_airport;Canton Island Airport;-2.76812005;-171.7100067;OC;--
Abaroa;39492;SLCL;--;small_airport;Collpani Airport;-18.89166641;-66.78333282;SA;--
Abay;41873;KZ-0021;--;small_airport;Abay Bazar Airport;41.36220169;68.98760223;AS;--
Abbeville;7249;0J0;--;small_airport;Abbeville Municipal Airport;31.60020065;-85.23880005;NA;0J0
Abbeville;10098;34LS;--;small_airport;Coastal Ridge Airpark;30.02890015;-92.01450348;NA;34LS
Abbeville;10144;35LA;--;small_airport;Ms Pats Airport;29.97450066;-92.17610168;NA;35LA
Abbeville;18387;K0R3;--;small_airport;Abbeville Chris Crusta Memorial Airport;29.97579956;-92.084198;NA;IYA
Abbeville;21527;LA60;--;small_airport;Live Oak Landing Strip;29.824421;-92.115511;NA;LA60
Abbeville;4174;LFOI;XAB;medium_airport;Abbeville;50.143501;1.831891;EU;--
Abbeville;21701;LS68;--;small_airport;Ken Guidry Nr 1 Airport;29.93470001;-92.21350098;NA;LS68
Abbeville;24479;SC81;--;small_airport;Abbeville Airport;34.1515007;-82.35369873;NA;SC81
Abbeville;24490;SC92;--;small_airport;Rambos Field;34.10319901;-82.28179932;NA;SC92
Abbeyfeale;321161;IE-0018;--;small_airport;Abbeyfeale Airfield;52.396374;-9.338401;EU;--
Abbeyleix;43996;EIIH;--;small_airport;Abbeyleix;52.892223;-7.262778;EU;--
Abbeyshrule;29213;EIAB;--;small_airport;Abbeyshrule Aerodrome;53.59170151;-7.645559788;EU;--
Abbiategrasso;315882;IT-0111;--;small_airport;Aviosuperficie dei Navigli;45.414722;8.895;EU;MIABB
Abbotsford;1969;CYXX;YXX;medium_airport;Abbotsford Airport;49.02529907;-122.3610001;NA;--
Abbott;25121;TX03;--;small_airport;Stapleton Field;31.87520027;-97.06690216;NA;TX03
Abbottabad;41610;OPAB;--;small_airport;Abbottabad Airport;34.200001;73.25;AS;--
Abbse;30960;OYAB;EAB;small_airport;Abbse Airport;16.010833;43.176667;AS;--
Abdanan;32101;OICD;--;small_airport;Abdanan Airport;32.93450165;47.48339844;AS;--
Abemama Atoll;30619;NGTB;AEA;small_airport;Abemama Atoll Airport;0.490833014;173.8289948;OC;--
Abengourou;32098;DIAU;OGO;small_airport;Abengourou Airport;6.715559959;-3.470279932;AF;--
Aberdeen 1;15440;94WA;--;small_airport;Wishkah River Ranch Airport;47.08480072;-123.7740021;NA;94WA
Aberdeen;2459;EGPD;ABZ;large_airport;Aberdeen Dyce Airport;57.20190048;-2.197779894;EU;--
Aberdeen 2;29643;FAAE;--;small_airport;Aberdeen Airport;-32.46670151;24.06669998;AF;--
Aberdeen 3;31216;FVAB;--;small_airport;Aberdeen Airport;-18.195092;32.675326;AF;--
