AIRLINE;INCREASED FREQUENCIES FROM MARCH 15 - APRIL 7;EVIDENCES OF FLYING CARGO FLIGHTS ON PASSENGER AIRCRAFTS;;LINK;;;;
Alitalia;776;YES;776;;;;;
Air Canada;434;YES;434;https://aircanada.mediaroom.com/2020-04-11-Air-Canada-Reconfigures-Passenger-Cabins-on-Three-Aircraft-to-Transport-More-Vital-Supplies-and-Necessary-Cargo;;;;
SAS;380;YES;380;https://www.reuters.com/article/us-health-coronavirus-sas-cargo/sas-turns-to-cargo-flights-using-idled-passenger-planes-idUSKBN21H10C;;;;
Lufthansa;336;YES;336;https://www.aircargonews.net/airlines/airlines-fill-passenger-seats-with-cargo-to-meet-demand/;;;;
Luxair;322;NO;0;;;;;
British Airways;296;YES;296;;;;;
KLM;286;NO;0;;;;;NOM aerolinea + passenger airplanes filled with cargo
Finnair;223;YES;223;https://www.finnair.com/es-es/bluewings/world-of-finnair/how-finnair-is-keeping-cargo-moving-with-passenger-planes-2105430;;;;NOM aerolinea cargo flights COVID-19
Aeroflot;220;NO;0;;;;;NOM aerolinea + airplanes used to transport cargo
EVA Air;210;NO;0;;;;;
Icelandair;207;YES;207;https://www.aircargonews.net/airlines/airlines-continue-fight-against-covid-19/;;;;
United Airlines ;204;YES;204;https://www.forbes.com/sites/willhorton1/2020/05/13/united-airlines-medical-supplies-cargo-flight-opposed-by-anchorage-during-covid-19/#420bff354e26;;;;
Delta Airlines;196;YES;196;https://samchui.com/2020/03/26/covid-19-airlines-focus-their-fleets-on-cargo/#.XuC80J4zZQI;;;;
Malaysia Airlines;195;YES;195;https://www.forbes.com/sites/willhorton1/2020/05/06/a380-freighter-might-be-more-trouble-than-its-worth-for-covid-19-air-cargo/#2db2858975df;;;;
Norwegian;191;NO;0;;;;;
S7 Airlines;191;NO;0;;;;;
Air China;186;YES;186;https://www.bloomberg.com/news/articles/2020-03-25/desperate-airlines-switch-passengers-for-cargo-to-stay-alive;;;;
Air France;185;NO;0;;;;;
Hawaiian Airlines;184;NO;0;;;;;
Azul;179;NO;0;;;;;
China Airlines;173;YES;173;http://www.xinhuanet.com/english/2020-05/18/c_139064684.htm;;;;
Korean Air;170;YES;170;https://www.youtube.com/watch?v=OazbIkAOHtI;;;;
GOL;169;NO;0;;;;;
Philippine Airlines;167;YES;167;;;;;
Turkish Airlines;138;YES;138;https://www.forbes.com/sites/jamesasquith/2020/03/28/commercial-airlines-are-now-operating-cargo-only-flights/#61f881bc6f0e;;;;
Vueling;110;NO;0;;;;;
ANA;107;NO;0;https://japantoday.com/category/business/with-no-passengers-ana-fills-every-seat-on-plane-with-masks-and-medical-supplies;;;;
Loganair;104;NO;0;;;;;
Iberia;99;YES;99;https://samchui.com/2020/03/26/covid-19-airlines-focus-their-fleets-on-cargo/#.XuH3Xp4zZQI;;;;
JAL;96;NO;0;https://mainichi.jp/english/articles/20200515/p2a/00m/0bu/007000c;;;;
Air Senegal;93;NO;0;;;;;
Asiana Airlines;92;NO;0;https://www.donga.com/en/article/all/20200316/2008928/1/Airliners-use-passenger-planes-to-send-cargo-amid-virus-outbreak;;;;
Eurowings;77;NO;0;;;;;
TAP Air Portugal;75;NO;0;;;;;
Wizz Air;69;NO;0;;;;;
Air New Zealand;68;YES;68;https://www.scoop.co.nz/stories/BU2004/S00214/air-cargo-connections-continue-in-covid-19-lock-down.htm;;;;
Aerolineas Argentinas;63;NO;0;https://airgways.com/2020/04/15/aerolineas-vuelo-sanitario-a-shanghai/;;;;
Singapore Airlines;59;YES;59;https://www.forbes.com/sites/jasonbisnoff/2020/06/09/nick-lomaglio-uses-passion-for-teaching-with-clients-and-students-alike/#789edb27a84b;;;;
Swiss International Air;58;YES;58;https://samchui.com/2020/03/26/covid-19-airlines-focus-their-fleets-on-cargo/#.XuICzp4zZQJ;;;;
Ethiopian Airlines;43;YES;43;https://samchui.com/2020/03/26/covid-19-airlines-focus-their-fleets-on-cargo/#.XuICzp4zZQJ;;;;
Cathay Pacific;42;YES;42;;;;;
Etihad;36;YES;36;https://www.forbes.com/sites/cathybuyck/2020/03/26/airlines-spot-revenue-opportunity-and-use-their-passenger-aircraft-to-ship-urgent-cargo/#1b9c58707c68;;;;
Garuda;35;NO;0;https://www.thejakartapost.com/news/2020/04/30/garuda-switches-focus-to-cargo-chartered-flight-businesses-amid-mudik-ban.html;;;;
Gulf Air;35;NO;0;;;;;
Qatar;32;YES;32;https://theloadstar.com/qatar-airways-cargo-creates-an-air-bridge-between-vietnam-and-france/;;;;
American Airlines;28;YES;28;https://www.businessinsider.com/coronavirus-airlines-flying-cargo-only-planes-for-medical-supplies-mail-2020-4?IR=T;;;;
Vietnam Airlines;28;NO;0;https://vnexplorer.net/vietnamese-aviation-aims-at-specialized-cargo-a202045164.html;;;;
Thai Airways;26;NO;0;;;;;
Air Antilles;21;NO;0;;;;;
China Southern;21;YES;21;https://www.globaltimes.cn/content/1186745.shtml;;;;
